# k_step gamma S_color
18 2.410000e-02 2.500000e-03
17 2.450000e-02 3.800000e-03
16 2.550000e-02 3.400000e-03
15 3.140000e-02 4.700000e-03
1000 6.000000e-04 8.560000e-02
100 4.300000e-03 1.048000e-01
65 5.600000e-03 1.424000e-01
50 7.500000e-03 1.375000e-01
40 9.600000e-03 9.510000e-02
30 1.260000e-02 6.470000e-02
26 1.690000e-02 2.400000e-03
23 2.020000e-02 1.510000e-02
20 2.200000e-02 1.920000e-02
18 2.430000e-02 1.230000e-02
17 2.490000e-02 3.900000e-03
16 3.080000e-02 4.900000e-03
15 3.060000e-02 6.300000e-03
1000 2.000000e-04 1.905000e-01
100 3.600000e-03 8.240000e-02
65 5.900000e-03 7.530000e-02
50 8.600000e-03 1.322000e-01
40 1.050000e-02 7.900000e-02
30 1.340000e-02 2.010000e-02
26 1.880000e-02 1.900000e-03
23 2.090000e-02 4.420000e-02
20 2.340000e-02 9.800000e-03
18 2.620000e-02 9.000000e-03
17 2.410000e-02 1.700000e-02
16 2.820000e-02 5.300000e-03
15 3.190000e-02 2.400000e-03
1000 1.000000e-04 2.007000e-01
100 3.500000e-03 1.614000e-01
65 5.500000e-03 9.820000e-02
50 7.900000e-03 2.520000e-02
40 1.210000e-02 9.790000e-02
30 1.400000e-02 1.050000e-02
26 1.610000e-02 5.540000e-02
23 1.670000e-02 3.500000e-03
20 2.130000e-02 2.870000e-02
18 2.450000e-02 4.100000e-03
17 2.600000e-02 3.400000e-03
16 2.900000e-02 4.600000e-03
15 2.980000e-02 3.500000e-03
1000 1.000000e-04 1.973000e-01
100 4.500000e-03 1.038000e-01
65 5.800000e-03 1.350000e-01
50 8.700000e-03 1.412000e-01
40 1.110000e-02 5.700000e-03
30 1.170000e-02 4.070000e-02
26 1.460000e-02 4.600000e-03
23 1.940000e-02 1.960000e-02
20 2.050000e-02 2.620000e-02
18 2.840000e-02 1.600000e-03
17 2.660000e-02 6.200000e-03
16 2.750000e-02 1.070000e-02
15 2.950000e-02 6.800000e-03
1000 2.000000e-04 2.074000e-01
100 3.800000e-03 1.090000e-01
65 6.800000e-03 8.520000e-02
50 7.800000e-03 7.300000e-02
40 1.080000e-02 4.670000e-02
30 1.290000e-02 1.250000e-02
26 1.920000e-02 7.400000e-03
23 2.250000e-02 1.480000e-02
20 2.370000e-02 2.520000e-02
18 2.600000e-02 9.800000e-03
17 2.650000e-02 1.100000e-02
16 3.240000e-02 3.500000e-03
15 3.010000e-02 1.100000e-03
1000 4.000000e-04 1.459000e-01
100 3.200000e-03 1.783000e-01
65 6.700000e-03 1.065000e-01
50 9.300000e-03 1.870000e-02
40 9.600000e-03 1.374000e-01
30 1.210000e-02 4.800000e-03
26 1.500000e-02 8.090000e-02
23 1.920000e-02 3.090000e-02
20 2.200000e-02 1.180000e-02
18 2.740000e-02 1.710000e-02
17 2.720000e-02 3.800000e-03
16 3.080000e-02 6.800000e-03
15 2.840000e-02 5.600000e-03
1000 2.000000e-04 2.116000e-01
100 4.600000e-03 5.330000e-02
65 6.400000e-03 5.890000e-02
50 9.100000e-03 9.230000e-02
40 9.200000e-03 9.060000e-02
30 1.430000e-02 1.009000e-01
26 1.710000e-02 9.470000e-02
23 1.800000e-02 5.720000e-02
20 2.360000e-02 2.200000e-03
18 2.430000e-02 2.000000e-03
17 2.660000e-02 6.400000e-03
16 2.730000e-02 2.300000e-03
15 3.020000e-02 2.200000e-03
1000 3.000000e-04 1.907000e-01
100 2.700000e-03 1.552000e-01
65 6.500000e-03 1.548000e-01
50 7.500000e-03 4.750000e-02
40 9.300000e-03 1.335000e-01
30 1.410000e-02 3.560000e-02
26 1.570000e-02 5.000000e-03
23 2.010000e-02 4.780000e-02
20 2.060000e-02 6.300000e-03
18 2.560000e-02 1.400000e-03
17 2.850000e-02 5.800000e-03
16 2.920000e-02 2.900000e-03
15 3.040000e-02 3.100000e-03
1000 1.000000e-04 2.135000e-01
100 3.300000e-03 1.234000e-01
65 5.600000e-03 1.431000e-01
50 8.000000e-03 1.416000e-01
40 1.130000e-02 6.280000e-02
30 1.380000e-02 7.740000e-02
26 1.670000e-02 4.270000e-02
23 1.910000e-02 9.000000e-03
20 2.180000e-02 2.600000e-02
18 2.400000e-02 6.600000e-03
17 2.400000e-02 2.120000e-02
16 2.900000e-02 4.800000e-03
15 3.090000e-02 5.500000e-03
1000 0.000000e+00 1.991000e-01
100 4.000000e-03 1.631000e-01
65 8.000000e-03 9.870000e-02
50 7.700000e-03 1.277000e-01
40 1.070000e-02 7.400000e-03
30 1.380000e-02 9.400000e-03
26 1.400000e-02 7.110000e-02
23 1.970000e-02 4.200000e-03
20 2.330000e-02 2.800000e-03
18 2.680000e-02 8.500000e-03
17 2.530000e-02 5.600000e-03
16 3.160000e-02 3.800000e-03
15 3.040000e-02 1.710000e-02
1000 2.000000e-04 1.395000e-01
100 2.500000e-03 1.816000e-01
65 7.300000e-03 6.600000e-02
50 8.300000e-03 2.740000e-02
40 8.700000e-03 1.004000e-01
30 1.310000e-02 5.280000e-02
26 1.690000e-02 3.130000e-02
23 2.010000e-02 7.460000e-02
20 2.340000e-02 8.000000e-03
18 2.390000e-02 1.320000e-02
17 2.750000e-02 4.500000e-03
16 2.890000e-02 5.300000e-03
15 2.780000e-02 7.100000e-03
1000 5.000000e-04 1.380000e-01
100 3.400000e-03 7.710000e-02
65 6.100000e-03 7.190000e-02
50 8.400000e-03 1.292000e-01
40 8.800000e-03 1.340000e-01
30 1.450000e-02 1.350000e-02
26 1.500000e-02 2.350000e-02
23 1.890000e-02 2.450000e-02
20 2.030000e-02 1.000000e-03
18 2.740000e-02 1.200000e-03
17 2.590000e-02 5.400000e-03
16 3.010000e-02 6.300000e-03
15 2.870000e-02 3.000000e-03
1000 2.000000e-04 1.846000e-01
100 3.800000e-03 1.006000e-01
65 6.000000e-03 1.333000e-01
50 9.600000e-03 6.450000e-02
40 1.080000e-02 5.800000e-03
30 1.290000e-02 8.180000e-02
26 1.690000e-02 5.400000e-03
23 1.730000e-02 2.260000e-02
20 2.290000e-02 3.300000e-03
18 2.530000e-02 2.930000e-02
17 2.430000e-02 6.500000e-03
16 2.710000e-02 5.000000e-04
15 3.320000e-02 1.600000e-03
1000 6.000000e-04 6.870000e-02
100 3.800000e-03 1.438000e-01
65 5.600000e-03 1.392000e-01
50 9.900000e-03 7.200000e-03
40 9.900000e-03 2.290000e-02
30 1.180000e-02 7.400000e-03
26 1.590000e-02 1.640000e-02
23 1.740000e-02 3.100000e-03
20 2.270000e-02 1.600000e-03
18 2.620000e-02 4.500000e-03
17 2.690000e-02 1.860000e-02
16 2.970000e-02 1.090000e-02
15 3.110000e-02 1.000000e-03
1000 1.000000e-04 2.281000e-01
100 4.200000e-03 1.022000e-01
65 5.600000e-03 8.330000e-02
50 8.300000e-03 1.067000e-01
40 9.300000e-03 4.560000e-02
30 1.300000e-02 1.700000e-02
26 1.720000e-02 5.700000e-03
23 2.000000e-02 3.080000e-02
20 2.190000e-02 5.950000e-02
18 2.680000e-02 4.200000e-03
17 2.640000e-02 3.200000e-03
16 2.790000e-02 1.450000e-02
15 3.310000e-02 8.900000e-03
1000 3.000000e-04 1.802000e-01
100 2.800000e-03 1.192000e-01
65 6.000000e-03 1.430000e-01
50 7.700000e-03 1.133000e-01
40 8.400000e-03 1.367000e-01
30 1.520000e-02 6.300000e-03
26 1.890000e-02 1.260000e-02
23 1.700000e-02 1.900000e-02
20 2.060000e-02 2.620000e-02
18 2.600000e-02 7.400000e-03
17 2.620000e-02 8.300000e-03
16 2.860000e-02 1.910000e-02
15 3.110000e-02 2.400000e-03
1000 3.000000e-04 1.409000e-01
100 3.100000e-03 1.461000e-01
65 7.300000e-03 1.960000e-02
50 8.800000e-03 1.269000e-01
40 9.900000e-03 4.550000e-02
30 1.450000e-02 6.330000e-02
26 1.630000e-02 1.960000e-02
23 1.650000e-02 8.500000e-03
20 2.090000e-02 1.380000e-02
18 2.580000e-02 2.440000e-02
17 2.640000e-02 7.400000e-03
16 2.630000e-02 9.300000e-03
15 3.440000e-02 1.300000e-03
1000 1.000000e-04 1.884000e-01
100 3.300000e-03 1.567000e-01
65 5.300000e-03 1.412000e-01
50 7.500000e-03 1.176000e-01
40 9.400000e-03 1.393000e-01
30 1.350000e-02 1.090000e-02
26 1.790000e-02 1.920000e-02
23 1.960000e-02 1.150000e-02
20 2.430000e-02 3.200000e-03
18 2.280000e-02 2.300000e-03
17 2.400000e-02 3.010000e-02
16 3.000000e-02 5.900000e-03
15 2.920000e-02 3.500000e-03
1000 2.000000e-04 1.830000e-01
100 4.200000e-03 2.130000e-02
65 6.400000e-03 1.228000e-01
50 7.400000e-03 1.220000e-01
40 1.110000e-02 3.180000e-02
