# k_step gamma S_color
20 1.129275e-02 1.101861e-02
18 1.299754e-02 -3.976796e-14
17 1.403005e-02 1.523840e-15
16 1.521706e-02 -5.608292e-16
15 1.659402e-02 -2.432924e-16
1000 6.765023e-05 1.206019e-01
100 1.357724e-03 1.095411e-01
65 2.385318e-03 9.854702e-02
50 3.364946e-03 9.036616e-02
40 4.512072e-03 8.174184e-02
30 6.594110e-03 6.930908e-02
26 7.968958e-03 5.147898e-02
23 9.376545e-03 3.704851e-02
20 1.129275e-02 1.142915e-02
18 1.299754e-02 -4.238351e-14
17 1.403005e-02 1.526039e-15
16 1.521706e-02 -5.631212e-16
15 1.659402e-02 -2.529623e-16
1000 6.765023e-05 1.255526e-01
100 1.357724e-03 1.020357e-01
65 2.385318e-03 9.926560e-02
50 3.364946e-03 8.971234e-02
40 4.512072e-03 8.342023e-02
30 6.594110e-03 6.686657e-02
26 7.968958e-03 5.668325e-02
23 9.376545e-03 3.672138e-02
20 1.129275e-02 1.121631e-02
18 1.299754e-02 -4.375656e-14
17 1.403005e-02 1.581859e-15
16 1.521706e-02 -5.599102e-16
15 1.659402e-02 -2.569922e-16
1000 6.765023e-05 1.280117e-01
100 1.357724e-03 9.957714e-02
65 2.385318e-03 9.706909e-02
50 3.364946e-03 9.325070e-02
40 4.512072e-03 7.909853e-02
30 6.594110e-03 6.604048e-02
26 7.968958e-03 5.459527e-02
23 9.376545e-03 3.850572e-02
20 1.129275e-02 1.083384e-02
18 1.299754e-02 -4.130601e-14
17 1.403005e-02 1.615596e-15
16 1.521706e-02 -5.474733e-16
15 1.659402e-02 -2.404854e-16
1000 6.765023e-05 1.187052e-01
100 1.357724e-03 1.017736e-01
65 2.385318e-03 9.492029e-02
50 3.364946e-03 8.615848e-02
40 4.512072e-03 8.530777e-02
30 6.594110e-03 6.623897e-02
26 7.968958e-03 5.416296e-02
23 9.376545e-03 3.898515e-02
20 1.129275e-02 1.113747e-02
18 1.299754e-02 -4.103643e-14
17 1.403005e-02 1.534124e-15
16 1.521706e-02 -5.578198e-16
15 1.659402e-02 -2.485414e-16
1000 6.765023e-05 1.356149e-01
100 1.357724e-03 1.021823e-01
65 2.385318e-03 9.655332e-02
50 3.364946e-03 9.506568e-02
40 4.512072e-03 8.160897e-02
30 6.594110e-03 6.374621e-02
26 7.968958e-03 5.496104e-02
23 9.376545e-03 3.860672e-02
20 1.129275e-02 1.113355e-02
18 1.299754e-02 -4.240281e-14
17 1.403005e-02 1.570336e-15
16 1.521706e-02 -5.685420e-16
15 1.659402e-02 -2.501737e-16
1000 6.765023e-05 1.258289e-01
100 1.357724e-03 1.045793e-01
65 2.385318e-03 9.424763e-02
50 3.364946e-03 8.622805e-02
40 4.512072e-03 8.099794e-02
30 6.594110e-03 6.736247e-02
26 7.968958e-03 5.597833e-02
23 9.376545e-03 3.842580e-02
20 1.129275e-02 1.089197e-02
18 1.299754e-02 -3.970543e-14
17 1.403005e-02 1.508651e-15
16 1.521706e-02 -5.618416e-16
15 1.659402e-02 -2.424454e-16
1000 6.765023e-05 1.170900e-01
100 1.357724e-03 1.113667e-01
65 2.385318e-03 1.005242e-01
50 3.364946e-03 9.540603e-02
40 4.512072e-03 8.096331e-02
30 6.594110e-03 6.615566e-02
26 7.968958e-03 5.341440e-02
23 9.376545e-03 3.744867e-02
20 1.129275e-02 1.186255e-02
18 1.299754e-02 -4.126161e-14
17 1.403005e-02 1.576375e-15
16 1.521706e-02 -5.500838e-16
15 1.659402e-02 -2.561415e-16
1000 6.765023e-05 1.263291e-01
100 1.357724e-03 1.054994e-01
65 2.385318e-03 9.781835e-02
50 3.364946e-03 8.621803e-02
40 4.512072e-03 7.740618e-02
30 6.594110e-03 6.624536e-02
26 7.968958e-03 5.562512e-02
23 9.376545e-03 3.742849e-02
20 1.129275e-02 1.176442e-02
18 1.299754e-02 -4.367798e-14
17 1.403005e-02 1.607734e-15
16 1.521706e-02 -5.972814e-16
15 1.659402e-02 -2.539332e-16
1000 6.765023e-05 1.167785e-01
100 1.357724e-03 1.020392e-01
65 2.385318e-03 9.693658e-02
50 3.364946e-03 8.701750e-02
40 4.512072e-03 8.283658e-02
30 6.594110e-03 6.791546e-02
26 7.968958e-03 5.482258e-02
23 9.376545e-03 3.891438e-02
20 1.129275e-02 1.107933e-02
18 1.299754e-02 -4.226118e-14
17 1.403005e-02 1.504915e-15
16 1.521706e-02 -5.624516e-16
15 1.659402e-02 -2.473472e-16
1000 6.765023e-05 1.169125e-01
100 1.357724e-03 9.720574e-02
65 2.385318e-03 9.547141e-02
50 3.364946e-03 9.338109e-02
40 4.512072e-03 8.951271e-02
30 6.594110e-03 6.206522e-02
26 7.968958e-03 5.074867e-02
23 9.376545e-03 3.822194e-02
20 1.129275e-02 1.139809e-02
18 1.299754e-02 -4.189960e-14
17 1.403005e-02 1.502466e-15
16 1.521706e-02 -5.721436e-16
