# k_av S_color
2.000000e+00 4.718096e-01
1.000000e+00 0.000000e+00
1.050000e+00 6.805628e-05
1.100000e+00 4.376888e-03
1.150000e+00 1.668626e-02
1.200000e+00 4.520516e-02
1.250000e+00 6.122443e-02
1.300000e+00 8.328539e-02
1.350000e+00 1.033790e-01
1.400000e+00 1.531711e-01
1.450000e+00 1.830213e-01
1.500000e+00 2.190628e-01
1.550000e+00 2.399222e-01
1.600000e+00 2.783545e-01
1.650000e+00 2.790441e-01
1.700000e+00 3.122089e-01
1.750000e+00 3.621537e-01
1.800000e+00 3.723655e-01
1.850000e+00 4.088921e-01
1.900000e+00 4.103923e-01
1.950000e+00 4.392187e-01
2.000000e+00 4.732906e-01
1.000000e+00 0.000000e+00
1.050000e+00 1.049997e-04
1.100000e+00 3.827350e-03
1.150000e+00 2.367570e-02
1.200000e+00 3.267145e-02
1.250000e+00 6.769552e-02
1.300000e+00 8.520576e-02
1.350000e+00 1.332412e-01
1.400000e+00 1.463061e-01
1.450000e+00 1.724520e-01
1.500000e+00 2.062722e-01
1.550000e+00 2.241759e-01
1.600000e+00 2.372646e-01
1.650000e+00 3.037413e-01
1.700000e+00 3.325705e-01
1.750000e+00 3.400365e-01
1.800000e+00 3.824246e-01
1.850000e+00 3.912549e-01
1.900000e+00 4.426299e-01
1.950000e+00 4.242676e-01
2.000000e+00 4.788608e-01
1.000000e+00 0.000000e+00
1.050000e+00 1.491630e-04
1.100000e+00 8.342972e-03
1.150000e+00 2.226169e-02
1.200000e+00 3.178046e-02
1.250000e+00 6.657235e-02
1.300000e+00 8.578213e-02
1.350000e+00 1.056500e-01
1.400000e+00 1.440544e-01
1.450000e+00 1.956505e-01
1.500000e+00 2.075151e-01
1.550000e+00 2.187224e-01
1.600000e+00 2.961147e-01
1.650000e+00 2.920819e-01
1.700000e+00 3.217118e-01
1.750000e+00 3.621023e-01
1.800000e+00 3.643003e-01
1.850000e+00 4.106310e-01
1.900000e+00 4.144386e-01
1.950000e+00 4.214426e-01
2.000000e+00 4.660478e-01
1.000000e+00 0.000000e+00
1.050000e+00 6.786640e-05
1.100000e+00 7.861857e-03
1.150000e+00 2.700486e-02
1.200000e+00 3.484939e-02
1.250000e+00 8.115491e-02
1.300000e+00 8.594693e-02
1.350000e+00 1.241872e-01
1.400000e+00 1.245528e-01
1.450000e+00 1.717796e-01
1.500000e+00 1.997572e-01
1.550000e+00 2.257442e-01
1.600000e+00 2.508805e-01
1.650000e+00 2.842519e-01
1.700000e+00 3.600911e-01
1.750000e+00 3.491273e-01
1.800000e+00 3.720692e-01
1.850000e+00 4.025350e-01
1.900000e+00 4.280631e-01
1.950000e+00 4.690015e-01
2.000000e+00 4.759045e-01
1.000000e+00 0.000000e+00
1.050000e+00 1.522194e-04
1.100000e+00 3.443387e-03
1.150000e+00 2.109417e-02
1.200000e+00 4.251058e-02
1.250000e+00 8.021574e-02
1.300000e+00 6.927757e-02
1.350000e+00 1.191628e-01
1.400000e+00 1.349731e-01
1.450000e+00 1.697054e-01
1.500000e+00 1.842733e-01
1.550000e+00 2.549501e-01
1.600000e+00 2.352841e-01
1.650000e+00 2.862677e-01
1.700000e+00 3.197297e-01
1.750000e+00 3.750365e-01
1.800000e+00 3.759011e-01
1.850000e+00 3.782422e-01
1.900000e+00 3.982746e-01
1.950000e+00 4.444085e-01
2.000000e+00 4.544955e-01
1.000000e+00 0.000000e+00
1.050000e+00 3.269864e-04
1.100000e+00 3.164551e-03
1.150000e+00 2.186819e-02
1.200000e+00 4.125971e-02
1.250000e+00 6.173359e-02
1.300000e+00 9.776189e-02
1.350000e+00 1.073155e-01
1.400000e+00 1.547027e-01
1.450000e+00 1.737603e-01
1.500000e+00 2.126714e-01
